customer_id,name,signup_date,tier,status,industry,region
CUST_0085,Acme Corp 85,2024-04-13,Basic,Active,Technology,Latin America
CUST_0086,Acme Corp 86,2024-11-30,Pro,Churned,Technology,Asia Pacific
CUST_0087,Vertex Technologies 87,2023-11-07,Free,Active,Manufacturing,Asia Pacific
CUST_0088,Zeta Solutions 88,2023-11-22,Enterprise,Active,Finance,North America
CUST_0089,TechStart Inc 89,2023-12-21,Enterprise,Churned,Healthcare,Asia Pacific
CUST_0090,DataFlow Systems 90,2023-10-24,Pro,Churned,Finance,Europe
CUST_0091,Acme Corp 91,2023-10-13,Basic,Active,Healthcare,Europe
CUST_0092,Global Solutions 92,2024-03-17,Enterprise,Active,Technology,Latin America
CUST_0093,Vertex Technologies 93,2024-10-09,Enterprise,Active,Manufacturing,Latin America
CUST_0094,Kappa Corp 94,2023-11-08,Basic,Active,Finance,Latin America
CUST_0095,Alpha Ventures 95,2023-04-04,Basic,Active,Healthcare,Europe
CUST_0096,Acme Corp 96,2024-02-19,Free,Churned,Healthcare,Europe
CUST_0097,Beta Systems 97,2023-12-08,Free,Churned,Technology,Asia Pacific
CUST_0098,Vertex Technologies 98,2023-03-24,Basic,Active,Technology,North America
CUST_0099,DataFlow Systems 99,2024-01-26,Enterprise,Churned,Manufacturing,Latin America
CUST_0100,InnovateCo 100,2024-06-07,Pro,Active,Healthcare,Latin America
